Question,Equation,Answer,Numbers
"Nina received an inheritance of $ N_00 from her grandmother. She invested part of it at N_01 interest and the remainder at N_02 . If the total yearly interest from both investments was $ N_03 , how much did she invest at each rate?",N_02* v0 + N_01* v1 = N_03 <BRG> v1 + v0 = N_00,5000.0 7000.0,12000.0 0.06 0.08 860.0
"Julio is N_00 years old, and James is N_01 years old. In how many years will Julio's age be twice James's age?",v0 - 2.0 * v0 = 2.0 * N_01 - N_00,14.0,36.0 11.0
"Jim is N_00 years older than Cindy. N_01 years ago, the sum of their ages was N_02 . Find each of their ages now.",v0 + v1 = N_02 + N_01 + N_01 <BRG> v1 - v0 = N_00,12.0 17.0,5.0 4.0 21.0
A chemist has N_00 grams of N_01 hydrochloric acid solution. He wishes to drain some off and replace it with an N_03 solution so as to obtain a N_02 solution. How many grams must he drain and replace with the N_03 solution?,N_01* v0 + N_03 * v1 = N_00 *N_02<BRG> v0 + v1 = N_00,25.0 275.0,300.0 0.2 0.25 0.8
An old conveyor belt can move one day's coal output in N_00 hrs. A new belt can move one day's output in N_01 hrs. How long would it take them together to move one day's coal output?,1.0 / N_00 * v0 + 1.0 / N_01 * v0 = 1.0,8.75,21.0 15.0
The sum of two numbers is N_00 . Three times the smaller number is the same as N_01 more than the larger. Find the two numbers.,3.0 * v0 - v1 = N_01 <BRG> v0 + v1 = N_00,20.0 28.0,48.0 32.0
The sum of two numbers is N_00 . N_01 times one number minus N_02 times the other is N_03 . Determine the numbers.,N_01 * v0 - N_02 * v1 = N_03 <BRG> v1 + v0 = N_00,52.0 73.0,125.0 5.0 3.0 41.0
"Cody is twice as old as Evan, and nine years ago, the sum of their age was N_00 . Find the age of each boy now.",v0 + v1 = N_00 + 9.0 + 9.0 <BRG> v0 - 2.0 * v1 = 0.0,8.0 16.0,6.0
"Maria is now N_00 years younger than her sister Ann. Four years ago, Maria's age was one-half of Ann's age. How old is each girl now?",v0 - 0.5 * v1 = - 1.0 * 0.5 * 4.0 + 4.0 <BRG> v1 - v0 = N_00,7.0 10.0,3.0
"Karen left her house heading east, and her sister left two hours later heading west at a rate N_00 mph faster than Karen. Six hours after Karen left, she and her sister were N_01 miles apart. How fast was Karen moving?",6.0 * v0 - 2.0 * v0 + 6.0 * v2 = N_01 <BRG> v0 - v2 = N_00,58.0 63.0,5.0 600.0
"A man is twice as old as his son. If N_00 years ago the sum of their ages was N_01 years, find their present ages.",v0 + v1 = N_01 + N_00 + N_00 <BRG> v0 - 2.0 * v1 = 0.0,28.0 56.0,9.0 66.0
"A car travels a total distance of N_00 miles. On the way to work, it travels at a speed of N_01 mph, and on the way back, it travels at a speed of N_02 mph. The total time taken for the car is N_03 hours. How long does each of the speeds take?",1.0 / N_01 * v0 + 1.0 / N_02 * v1 = N_03 <BRG> v1 + v0 = N_00,174.0 143.0,317.0 58.0 52.0 5.75
My mother's age is three times my age. The sum of our ages is N_00 . How old am I? How old is my mother?,v0 + v1 = N_00 <BRG> v1 - 3.0 * v0 = 0.0,10.0 30.0,40.0
"You are buying coffee beans for your new business, ""The Algebra Caf."" You discover that low-grade beans sell for $ N_00 a pound, and high-grade beans sell for $ N_01 a pound. To meet the demands of the upcoming month, you need to buy a total of N_02 pounds of beans. You must spend the remainder of your bean money $ N_03",N_01 * v0 + N_00 * v1 = N_03 <BRG> v0 + v1 = N_02,3846.15384615 1153.84615385,0.8 1.45 5000.0 6500.0
A woman's age is three years more than twice her son's age. The sum of their ages is N_00 . How old is the son?,v0 - 2.0 * v1 = 3.0 <BRG> v0 + v1 = N_00,27.0 57.0,84.0
One number is N_00 less than another number. Find the numbers if three times the smaller number is six less than two times the larger number.,2.0 * v0 - 3.0 * v1 = 6.0 <BRG> v0 - v1 = N_00,18.0 10.0,8.0
Find the value of two numbers if their sum is N_00 and the difference is N_01 .,v0 + v1 = N_00 <BRG> v0 - v1 = N_01,29.0 25.0,54.0 4.0
"To attend the state fair, one group of N_00 adults and eight children paid $ N_01 for their tickets. Another group of N_02 adults and two children paid $ N_03 for the tickets. What is the price for each child's ticket??",N_00 * v0 + 8.0 * v1 = N_01 <BRG> N_02 * v0 + 2.0 * v1 = N_03,7.0 8.0,10.0 136.0 17.0 150.0
The difference between two numbers is N_00 . The second number is N_01 of the first number. What are the numbers?,v0 - 0.01 * 20.0 * v1 = 0.0 <BRG> v1 - v0 = N_00,110.0 22.0,88.0 0.2
Find the selling price per ounce of mixture of N_00 oz. of cologne that costs $ N_01 per ounce and N_02 oz. of a cologne that costs $ N_03 per ounce.,N_00 * v0 + N_02 * v0 = N_01 * N_00 + N_03 * N_02,3.0,200.0 5.5 500.0 2.0
"From pipe A, it takes N_00 hours to fill the tank. From pipe B, it takes N_01 hours to empty the tank. If the both pipes are opened, how many hours to fill the tank?",1.0 / N_00 * v0 - 1.0 / N_01 * v0 = 1.0,8.0,4.0 8.0
"A father is N_00 times as old as his daughter. In N_01 years, he will be only twice as old as his daughter. How old are the father and daughter now?",v0 - 2.0 * v1 = 2.0 * N_01 - N_01 <BRG> v0 - N_00 * v1 = 0.0,10.0 40.0,4.0 20.0
Tyler is one year older than N_00 times Clay's age. The sum of their ages is N_01 . How old is Tyler?,v0 - N_00 * v1 = 1.0 <BRG> v0 + v1 = N_01,5.0 16.0,3.0 21.0
"Erin drove from home at an average speed of N_00 mph. She returned home in the evening along the same route and average N_01 mph. If Erin spent a total of N_02 hour commuting to and from work, how many miles did Erin drive to work in the morning?",N_02 / N_00 * v0 + N_02 / N_01 * v0 = N_02,18.0,45.0 30.0 1.0
Jill is N_00 kilometers away from Joe. Both begin to walk toward each other at the same time. Jill walks N_01 km/h. They meet in N_02 hours. How fast is Joe walking?,N_02 * v0 = N_00 - N_02 * N_01,3.0,11.0 2.5 2.0
Sally spent N_00 of her money on comic books and N_01 of her money on videos. She had $ N_02 left. How much money did Sally have before buying the comic books and videos?,v0 - N_00 * v0 - N_01 * v0 = N_02,40.0,0.125 0.25 25.0
"One number is N_00 less than another. If N_01 times the smaller number minus N_02 times the larger number is N_03 , find the two numbers.",N_01 * v0 - N_02 * v1 = N_03 <BRG> v1 - v0 = N_00,10.0 18.0,8.0 5.0 2.0 14.0
The sum of two integers is N_00 . Their difference is N_01 . Find the two integers.,v0 + v1 = N_00 <BRG> v0 - v1 = N_01,-4.0 9.0,5.0 13.0
The sum of two numbers is N_00 . Twice the first number and plus N_01 times the second number is N_02 . What are the numbers?,2.0 * v0 + N_01 * v1 = N_02 <BRG> v0 + v1 = N_00,23.0 16.0,39.0 3.0 101.0
Two cyclists start at the same time from opposite ends of a course that is N_00 miles long. One cyclist is riding at N_01 mph and the second cyclist is riding at N_02 mph. How long after they begin will they meet?,N_01 * v0 + N_02 * v0 = N_00,1.5,45.0 14.0 16.0
"Three years ago, Mark's age was N_00 year more than thrice Aaron's. Four years from now, Mark's age will be N_01 years more than twice Aaron's. How old is Mark?",v0 - N_01 * v1 = N_01 - 4.0 + N_01 * 4.0 <BRG> v0 - 3.0 * v1 = N_00 + 3.0 - 3.0 * 3.0,28.0 11.0,1.0 2.0
The sum of two numbers is N_00 . The smaller number is subtracted from the large; the difference is N_01 . Find the number?,v0 + v1 = N_00 <BRG> v0 - v1 = N_01,18.0 30.0,48.0 12.0
"I have N_00 coins in my wallet, all nickels and quarters. The total value of the coins is $ N_01 . How many quarters and nickels do I have?",0.05* v0 + 0.25 * v1 = N_01 <BRG> v0 + v1 = N_00,8.0 13.0,21.0 3.65
"The denominator of a fraction exceeds the numerator by N_00 . If the numerator is increased by three and the denominator is increased by N_01 , the resulting fraction is equal to half. Find the original fraction.",v0 - 0.5 * v1 = 0.5 * N_01 - 3.0 <BRG> v0 - v1 = N_00,-8.0 -15.0,7.0 5.0
"The number N_00 was written as the sum of two numbers. The first number was divided by N_01 . This quotient was added to the second number divided by N_02 , and the total was N_03 . What were the two numbers?",1.0 / N_01 * v0 + 1.0 / N_02 * v1 = N_03 <BRG> v1 + v0 = N_00,69.0 81.0,150.0 27.0 23.0 6.0
"The difference between two numbers is N_00 . If the larger number is N_01 more than twice the smaller, find the numbers.",v0 - 2.0 * v1 = N_01 <BRG> v0 - v1 = N_00,40.0 18.0,22.0 4.0
The sum of two numbers is N_00 . Their difference is N_01 . What are the two numbers?,v0 + v1 = N_00 <BRG> v0 - v1 = N_01,12.0 21.0,33.0 9.0
"Liza is four times as old as Nene. Six years ago, she was N_00 times as old as Nene. Find their present age.",v0 - N_00 * v1 = - 1.0 * N_00 * 6.0 + 6.0 <BRG> v0 - 4.0 * v1 = 0.0,12.0 48.0,7.0
"A pool can be filled by one particular pipe in N_00 h, whereas a different pipe requires N_01 h to fill the pool. How long would it take to fill the pool with both pipes turned on?",1.0 / N_00 * v0 + 1.0 / N_01 * v0 = 1.0,3.75,10.0 6.0
"Advanced-purchase tickets to an art exhibition cost $ N_00 , while tickets purchased at the door cost $ N_01 . If a total of N_02 tickets were sold and $ N_03 was collected, how many advanced-purchase tickets were sold?",N_00 * v0 + N_01 * v1 = N_03 <BRG> v0 + v1 = N_02,100.0 40.0,8.0 14.0 140.0 1720.0
"A change machine at an arcade gives change for $ N_03 bills and $ N_00 bills. If, during a particular day, N_01 bills were inserted into the machine and the total value was $ N_02 , how many $ N_03 bills were inserted into the machine?",N_03 * v0 + N_00 * v1 = N_02 <BRG> v0 + v1 = N_01,175.0 25.0,5.0 200.0 300.0 1.0
"Mrs. Cruz is N_00 years old, and her eldest daughter is N_01 . When will she be twice as old as her eldest daughter?",v0 - 2.0 * v0 = 2.0 * N_01 - N_00,16.0,40.0 12.0
A classroom contains an equal number of boys and girls. N_00 girls left to play football. The number of boys in the room is N_01 less than twice the remaining number of girls. What was the original number of students present?,v0 - v1 = 0.0 <BRG> v0 - 2.0 * v1 = - 1.0 * 2.0 * N_00 - N_01,16.0 16.0,6.0 4.0
"The sum of two numbers is N_00 . If one number is N_01 more than the other number, what are the numbers?",v0 -N_01 * v1 = 1.0 <BRG> v0 + v1 = N_00,33.8333333333 164.166666667,198.0 0.2
How much N_00 solution must be added to N_01 cc of pure water to make at most N_02 salt solution?,N_00 * v0 - N_03 * v0 =N_03 * N_01,168.0,0.25 42.0 0.2
"Mr. Smith traveled for N_00 hours and covered N_01 kilometers on the trip. During the first part of the trip, he averaged N_02 kilometers per hour. During the second part, he averaged N_03 kilometers per hour. How many hours did he spend on each part of the trip?",N_02 * v0 + N_03 * v1 = N_01 <BRG> v0 + v1 = N_00,3.0 4.0,7.0 500.0 80.0 60.0
Jesse collects stamps. He now has N_00 stamps. He has three times as many stamps from European countries as he does from Asian countries. How many of his stamps are from European countries?,v0 + v1 = N_00 <BRG> v1 - 3.0 * v0 = 0.0,333.0 111.0,444.0
"A year ago, John was three times as old as Larry. A year later, he was twice as old as Larry. How old are John and Larry?",v0 - 3.0 * v1 = - 1.0 * 3.0 * 1.0 + 1.0 <BRG> v0 - 2.0 * v1 = 2.0 * 1.0 - 1.0,7.0 3.0,
"Two private planes leave a common airport at the same time and travel in opposite directions. If one travels at N_00 kph (kilometer per hour) and the other at N_01 kph, how long will it take them to be N_02 km apart?",N_00 * v0 + N_01 * v0 = N_02,4.84848484848,75.0 90.0 800.0
There are N_00 coins in total. They are all dimes and quarters and add to $ N_01 . How many dimes and quarters are there?,0.1 * v0 + 0.25 * v1 = N_01 <BRG> v0 + v1 = N_00,22.0 10.0,32.0 4.7
"Twice one number minus three times a second is equal to N_00 , and the sum of these numbers is N_01 . Find the numbers.",N_00 * v0 - 3.0 * v1 = N_00 <BRG> v1 + v0 = N_01,4.0 7.0,2.0 11.0
One antifreeze solution is N_00 alcohol. Another antifreeze solution is N_01 alcohol. How many liters of each antifreeze solution should be combined to create N_02 liters of antifreeze solution that is N_03 alcohol?,N_00 * v0 + N_01 * v1 = N_02 *N_03 <BRG> v0 + v1 = N_02,7.5 12.5,0.1 0.18 20.0 0.15
What is the sum of two numbers is N_00 if larger is two less than N_01 times the smaller?,N_01 * v0 - v1 = 2.0 <BRG> v0 + v1 = N_00,13.0 63.0,76.0 5.0
The larger of two numbers is N_00 more than the lesser. The sum of N_01 times the greater number and N_02 times the lesser number is N_03 . What are the numbers?,N_01 * v0 + N_02 * v1 = N_03 <BRG> v0 - v1 = N_00,6.0 8.0,2.0 25.0 50.0 500.0
The sum of two numbers is N_00 . N_01 times the first number is N_02 less than N_03 times the second. What are the two numbers?,N_03 * v0 - N_01 * v1 = N_02 <BRG> v1 + v0 = N_00,24.0 21.0,45.0 4.0 9.0 5.0
One-half of a number is N_00 more than the same number. What is the number?,0.5 * v0 - v0 = N_00,-6.0,3.0
"A two-digit counting number has a value of N_00 times the sum of its digits. If N_01 times the units digit is N_02 more than the tens digit, what is the number?",10.0 * v0 + v1 - N_00 * v0 - N_00 * v1 = 0.0 <BRG> N_01 * v1 - v0 = N_02,2.0 7.0,8.0 6.0 5.0
"A machine can fill N_00 boxes in N_01 minutes. At this rate, how many boxes can it fill in five minutes?",N_01 * v0 = N_00 * 5.0,2.0,24.0 60.0
"If I have an N_02 ml solution that is N_00 acid by volume, how many mL should I remove and replace with pure N_01 acid to obtain a final solution of N_02 ml that is N_03 acid by volume?",N_00 * v0 +N_01 * v1 = N_02 * N_02 <BRG> v0 + v1 = N_02,20.0 60.0,0.2 1.0 80.0 0.4
"If $ N_00 and $ N_01 are invested such that $ N_02 is earned in one year and if the rate of interest on the larger investment is N_03 more than that of the smaller investment, find the rates of interest.",N_00 * v0 + N_01 * v1 = N_02 <BRG> v0 - v1 = N_03,0.095 0.075,10000.0 4000.0 1250.0 0.02
"A community center sells tickets to a baseball game. Adult tickets are $ N_00 each, and children get in for $ N_01 . If the center sells N_02 tickets and collects $ N_03 , how many adult tickets were sold?",N_00 * v0 + N_01 * v1 = N_03 <BRG> v0 + v1 = N_02,35.0 50.0,5.0 2.0 85.0 275.0
A mixture of N_00 pounds of candy sells for $ N_01 a pound. The mixture consists of chocolates worth $ N_03 a pound and chocolates worth N_02 cents a pound. How many pounds of the $ N_03 chocolate were used to make the mixture?,N_03 * v0 + 0.01 * N_02 * v1 = N_00 * N_01 <BRG> v0 + v1 = N_00,20.0 10.0,30.0 1.1 90.0 1.5
"Two investments earn an annual income of $ N_00 . One investment earns an annual simple interest rate of N_01 , and the other investment earns an annual simple interest rate of N_02 . The total amount invested is $ N_03. How much is invested in each account?",N_02 * v0 + N_01 * v1 = N_00 <BRG> v1 + v0 = N_03,3000.0 5000.0,575.0 0.085 0.064 8000.0
"The sum of the digits of a two-digit number is N_00 . When the digits are reversed, the new number is N_01 more than the original number. What is the original number?",10.0 * v0 + v1 - 10.0 * v1 - v0 = - 1.0 * N_01 <BRG> v1 + v0 = N_00,8.0 9.0,17.0 9.0
"Tom is N_00 years younger than Alice. Ten years ago, Alice was N_01 times as old as Tom was then. How old is each now?",N_01 * v0 - v1 = - 1.0 * 10.0 + N_01 * 10.0 <BRG> v1 - v0 = N_00,30.0 15.0,15.0 4.0
Bill is N_00 year less than twice as old as his sister Caroline. The total of their ages is N_01 . How old is Bill now?,2.0 * v0 - v1 = N_00 <BRG> v0 + v1 = N_01,17.0 9.0,1.0 26.0
"A certain number is N_00 more than another number. If their sum is N_01 , find their numbers.",v0 + v1 = N_01 <BRG> v0 - v1 = N_00,9.0 12.0,3.0 21.0
Jon can mow the lawn in N_00 hours. Kim can mow the lawn in N_01 hours. How long will it take them to mow the lawn if they work together?,1.0 / N_00 * v0 + 1.0 / N_01 * v0 = 1.0,2.72727272727,6.0 5.0
"The sum of two numbers is N_00 , and their difference is N_01 . Find the numbers.",v0 + v1 = N_00 <BRG> v0 - v1 = N_01,14.0 9.0,23.0 5.0
One integer is N_00 more than another integer. The sum of the two integers is N_01 . Find the smaller integer.,v0 + v1 = N_01 <BRG> v0 - v1 = N_00,23.0 25.0,2.0 48.0
"An inlet pipe can fill a water tank in N_00 hours, while an outlet pipe can empty the same tank in N_01 hours. By mistake, both pipes are left open. How long will it take to fill the water tank with both pipes open?",1.0 / N_00 * v0 - 1.0 / N_01 * v0 = 1.0,30.0,10.0 15.0
"Two cars leave town at the same time going in the same direction. One travels at N_00 mph, and the other travels at N_01 mph. In how many hours will they be N_02 miles apart?",N_01 * v0 - N_00 * v0 = N_02,3.0,50.0 70.0 60.0
A baseball team has home games on Wednesday and Sunday. The two games together earned $ N_00 . Wednesday's game generated $ N_01 less than Sunday's game. How much was taken at each game?,v0 + v1 = N_00 <BRG> v0 - v1 = N_01,1832.0 3162.5,4994.5 1330.5
