Question,Equation,Answer,Numbers
"During N_00 year , the Wagners ' real estate bill included N_01 dollars for local schools . Of this amount , N_02 dollars went to the high school district . What percent did the Wagner family pay to the high school district ?",N_02 / N_01 * 100.0,25.0,1.0 600.0 150.0
"Alyssa has N_00 blue balloons , Sandy has N_01 blue balloons , and Sally has N_02 blue balloons . How many blue balloons do they have in all ?",N_00 + N_01 + N_02,104.0,37.0 28.0 39.0
"If there are N_00 eggs in a box and Daniel puts N_01 more eggs inside , how many eggs are in the box ?",N_00 + N_01,11.0,7.0 4.0
Martin strolled to Lawrence 's house . It is N_00 miles from Martin 's house to Lawrence 's house . It took Martin N_01 hours to get there . How fast did Martin go ?,N_00 / N_01,2.0,12.0 6.0
"If each ball costs $ N_00 , how much must Kyoko pay for N_01 balls ?",N_00 * N_01,4.62,1.54 3.0
A pet store had N_00 puppies . In one day they sold N_01 of them and put the rest into cages with N_02 in each cage . How many cages did they use ?,( N_00 - N_01 ) / N_02,3.0,13.0 7.0 2.0
Sara had N_00 pennies and N_01 quarters in her bank . Her dad borrowed N_02 quarters from Sara . How many quarters does she have now ?,N_01 - N_02,512.0,100.0 783.0 271.0
Charles has N_00 apples . Jessica gives Charles N_01 more . How many apples does Charles have in all ?,N_00 + N_01,43.0,4.0 39.0
"Will bought N_00 boxes of chocolate candy and gave N_01 to his little brother . If each box has N_02 pieces inside it , how many pieces did Will still have ?",N_02 * ( N_00 - N_01 ),16.0,7.0 3.0 4.0
Fred has N_00 cents in his bank . How many dimes does Fred have ?,N_00 / 10.0,9.0,90.0
"Virginia has N_00 eggs and N_01 Skittles . If she shares the eggs among N_02 friends , how many eggs does each friend get ?",N_00 / N_02,4.0,16.0 8.0 4.0
"Melanie had N_00 baseball cards , and N_01 were torn . Sara bought N_02 of Melanie 's baseball cards . How many baseball cards does Melanie have now ?",N_00 - N_02,12.0,30.0 9.0 18.0
Will was working as a sacker at a grocery store where he made N_00 dollars an hour . On Monday he worked N_01 hours and on Tuesday he worked N_02 hours . How much money did Will make in those two days ?,N_00 * ( N_00 + N_02 ),80.0,8.0 8.0 2.0
"If your gross pay is N_00 dollars , while your net pay is N_01 dollars , how much do you pay in taxes ? Assume that all tax dollars are not included in net pay .",N_00 - N_01,135.0,450.0 315.0
Joan found N_00 seashells and Jessica found N_01 seashells on the beach . How many seashells did they find together ?,N_00 + N_01,14.0,6.0 8.0
Mrs. Hilt read N_00 books . Each book had N_01 chapters in it . How many chapters did Mrs. Hilt read ?,N_00 * N_01,68.0,4.0 17.0
"John was trying to expand his game collection . He bought N_00 games from a friend and bought N_01 more at a garage sale . If N_02 of the games did n't work , how many good games did he end up with ?",N_00 + N_01 - N_02,6.0,21.0 8.0 23.0
"While on vacation , Gwen took N_00 pictures at the zoo and N_01 at the museum . If she later deleted N_02 of the pictures , how many pictures from her vacation did she still have ?",N_00 + N_01 - N_02,55.0,41.0 29.0 15.0
"If Lawrence walked N_00 kilometers at N_01 kilometers per hour , how long was Lawrence walking ?",N_00 - N_01,1.0,4.0 3.0
N_00 friends own a car in Florida . One owns N_01 of the car the second owns N_02 . How much does the third own ?,1.0 - N_01 - N_02,0.25,3.0 0.5833 0.1667
"Edward earned N_00 dollars for each lawn he mowed . If he had N_01 lawns to mow , but forgot to mow N_02 of them , how much money did he actually earn ?",N_00 * ( N_01 - N_02 ),32.0,4.0 17.0 9.0
"Debby 's class is going on a field trip to the zoo . If each van can hold N_00 people and there are N_01 students and N_02 adults going , how many vans will they need ?",( N_01 + N_02 ) / N_00,2.0,4.0 2.0 6.0
Jeremy strolled N_00 kilometers at N_01 kilometers per hour . How long did Jeremy stroll ?,N_00 / N_01,10.0,20.0 2.0
"Katie was selling her necklaces at a garage sale . She sold N_00 bead necklaces and N_01 gem stone necklaces . If each necklace cost N_02 dollars , how much money did she earn ?",N_01 * ( N_00 + N_01 ),21.0,4.0 3.0 3.0
"Sam was collecting cans for recycling . On Saturday he filled N_00 bags up and on Sunday he filled N_01 more bags . If each bag had N_02 cans in it , how many cans did he pick up total ?",N_02 * ( N_00 + N_01 ),63.0,3.0 4.0 9.0
Eric has N_00 boxes of pencils . Each box holds N_01 pencils . How many pencils does Eric have ?,N_00 * N_01,27.0,3.0 9.0
"At the arcade Dave won N_00 tickets . If he spent N_01 tickets on a beanie and later won N_02 more tickets , how many would he have ?",N_00 + N_02 - N_01,16.0,11.0 5.0 10.0
There are N_00 squirrels in a tree with N_01 nuts . How many more squirrels are there than nuts ?,N_00 - N_01,2.0,4.0 2.0
"Chloe baked N_00 brownies , but needed N_01 total for her party . If she used N_02 cups of flour on each one , how much cups of flour does she still need ?",N_02 * ( N_01 - N_00 ),54.0,7.0 16.0 6.0
There are N_00 oranges in a box . Deborah has N_01 oranges in a bag . Susan takes N_02 oranges out of the box . How many oranges are left in the box ?,N_00 - N_02,20.0,55.0 11.0 35.0
For the school bake sale Amy made pastries . She baked N_00 cupcakes and N_01 cookies . After the sale she had N_02 to take back home . How many pastries did she sell ?,N_00 + N_01 - N_02,51.0,15.0 48.0 12.0
"There are N_00 students trying out for the school 's trivia teams . If N_01 of them did n't get picked for the team and the rest were put into N_02 groups , how many students would be in each group ?",( N_00 - N_01 ) / N_02,5.0,25.0 15.0 2.0
Nancy uploaded N_00 pictures to Facebook . She put N_01 pics into one album and put the rest into N_02 different albums . How many pictures were in each album ?,( N_00 - N_01 ) / N_02,5.0,51.0 11.0 8.0
"On her vacation last summer , Trisha walked all over New York City to buy souvenirs . First , she walked N_00 mile from her hotel to a postcard shop . Then she walked N_01 mile from the postcard shop to a T - shirt shop and N_02 mile from the T - shirt shop back to the hotel . How many miles did Trisha walk in all ?",N_00 + N_00 + N_02,0.8888888888888888,0.1111111111111111 0.1111111111111111 0.6666666666666666
Sally has N_00 orange balloons and N_01 blue balloons . She lost N_02 of the orange balloons . How many orange balloons does Sally have now ?,N_00 - N_02,7.0,9.0 4.0 2.0
"Allie counted the leftover ice cream after a sundae party . She had N_00 carton of rocky road ice cream , N_01 carton of cookie dough ice cream , and N_02 carton of strawberry cheesecake ice cream . How many cartons of ice cream did Allie have in all ?",N_00 + N_00 + N_02,0.8333333333333334,0.3333333333333333 0.3333333333333333 0.16666666666666666
Sara picked N_00 pears and Sally picked N_01 pears from the pear tree . How many pears were picked in total ?,N_00 + N_01,56.0,45.0 11.0
A restaurant served N_00 cakes during lunch and N_01 during dinner today . How many cakes were served today ?,N_00 + N_01,15.0,6.0 9.0
John walks N_00 miles to school and Nina walks N_01 miles to school . How much farther does John walk than Nina ?,N_00 - N_01,0.3,0.7 0.4
"Wendy was playing a video game and had N_00 lives . In a hard part of the game she lost N_01 lives . If she got N_02 more lives in the next level , how many lives would she have ?",N_00 + N_02 - N_01,74.0,43.0 8.0 39.0
"For Halloween Katie and her sister combined the candy they received . Katie had N_00 pieces of candy while her sister had N_01 . If they ate N_02 pieces the first night , how many pieces do they have left ?",N_00 + N_01 - N_02,7.0,10.0 6.0 9.0
Janet has N_00 stickers . She gets N_01 more from Ruth . How many stickers does Janet have in all ?,N_00 + N_01,56.0,3.0 53.0
There are N_00 rulers in the drawer . Tim took N_01 rulers from the drawer . How many rulers are now in the drawer ?,N_00 - N_01,21.0,46.0 25.0
"Mrs. Hilt went to a concert . A total of N_00 people attended the concert . The next week , she went to a second concert , which had N_01 more people in attendance . How many people were at the second concert ?",N_00 + N_01,66018.0,65899.0 119.0
Sam has N_00 books . Joan has N_01 books . How many books do they have together ?,N_00 + N_01,212.0,110.0 102.0
"Melanie , Benny , Sandy , and Jessica each have N_00 dozen Pokemon cards . How many Pokemon cards do they have in all ?",4.0 * ( N_00 * 12.0 ),432.0,9.0
There are N_00 apples in a box . Louise has N_01 apples in a bag . Scott takes N_02 apples out of the box . How many apples are left in the box ?,N_00 - N_02,2.0,77.0 9.0 75.0
"Shirley sold N_00 boxes of Do - Si - Dos . How many cases of N_01 boxes , plus extra boxes does Shirley need to deliver ?",N_00 / N_01,5.0,20.0 4.0
"Tom has N_00 violet balloons , he gave Fred N_01 of the balloons . How many violet balloons does he now have ?",N_00 - N_01,14.0,30.0 16.0
"Mike bought some toys . He bought marbles for $ N_00 , a football for $ N_01 , and spent $ N_02 on a baseball . In total , how much did Mike spend on toys ?",N_00 + N_01 + N_02,20.52,9.05 4.95 6.52
Jason has N_00 violet balloons and N_01 red balloons . He lost N_02 of the violet balloons . How many violet balloons does Jason have now ?,N_00 - N_02,4.0,7.0 4.0 3.0
John weighs N_00 pounds . Roy weighs N_01 pounds . How much heavier is John than Roy ?,N_00 - N_01,77.0,81.0 4.0
There are N_00 oranges . N_01 oranges more are added . How many are there total ?,N_00 + N_00,16.0,8.0 8.0
"Olivia uploaded N_00 pictures from her phone and N_01 from her camera to facebook . If she sorted the pics into N_02 different albums with the same amount of pics in each album , how many pictures were in each of the albums ?",( N_00 + N_01 ) / N_02,5.0,5.0 35.0 8.0
N_00 birds were sitting on the fence . N_01 more birds came to join them . How many birds are sitting on the fence ?,N_00 + N_01,6.0,2.0 4.0
"Luke was putting his spare change into piles . He had N_00 piles of quarters and N_01 piles of dimes . If each pile had N_02 coins in it , how many coins did he have total ?",N_02 * ( N_00 + N_00 ),30.0,5.0 5.0 3.0
Ethan has N_00 presents . Alissa has N_01 more than Ethan . How many presents does Alissa have ?,N_00 + N_01,53.0,31.0 22.0
"Luke had N_00 pieces of clothing to wash . He put N_01 of them in one load , but decided to split the rest into N_02 equal loads . How many pieces of clothing could go in each of the small loads ?",( N_00 - N_01 ) / N_02,6.0,47.0 17.0 5.0
"Tiffany had N_00 pages of math homework and N_01 pages of reading homework . If each page had N_02 problems on it , how many problems did she have to complete total ?",N_02 * ( N_00 + N_01 ),30.0,6.0 4.0 3.0
"If there are N_00 bottle caps in a box and Linda puts N_01 more bottle caps inside , how many bottle caps are in the box ?",N_00 + N_00,14.0,7.0 7.0
Nancy was planting vegetables in her garden . She started with N_00 seeds and planted N_01 of them in the big garden and in each of her small gardens put N_02 seeds each . How many small gardens did Nancy have ?,( N_00 - N_01 ) / N_02,6.0,52.0 28.0 4.0
"Fred loves trading cards . He bought N_00 packs of football cards for $ N_01 each , a pack of Pokemon cards for $ N_02 , and a deck of baseball cards for $ N_03 . How much did Fred spend on cards ?",N_00 * N_01 + N_02 + N_03,18.42,2.0 2.73 4.01 8.95
"Harry Hound had a terrible earache yesterday . When I peered into his ears yesterday , I found N_00 frisky fleas having a party in his right ear and N_01 baby fleas sleeping peacefully in his left ear . I cleaned out Harry Hound 's ears . How many fleas perished ?",N_00 + N_01,121.0,36.0 85.0
Donald has N_00 oranges . He finds another N_01 . How many oranges does Donald have in all ?,N_00 + N_01,9.0,4.0 5.0
There are N_00 crayons in the drawer . Mary took N_01 crayons out of the drawer . How many crayons are there now ?,N_00 - N_01,4.0,7.0 3.0
"A pet shelter had N_00 puppies when another N_01 were brought in . If N_02 puppies a day are adopted , how long would it take for all of them to be adopted ?",( N_00 + N_01 ) / N_02,7.0,9.0 12.0 3.0
Gordon bought N_00 pounds of fruit for a class party . The class ate N_01 pounds of the fruit . How much fruit is ?,N_00 - N_01,1.22,3.42 2.2
Alyssa picked N_00 pears and Nancy picked N_01 pears from the pear tree . How many pears were picked in all ?,N_00 + N_01,59.0,42.0 17.0
"At the arcade Edward won N_00 tickets . If he spent N_01 tickets on a beanie and later won N_02 more tickets , how many would he have ?",N_00 + N_01 - N_01,9.0,9.0 4.0 4.0
"While shopping , Emily bought N_00 green towels and N_01 white towels . If she gave her mother N_02 of them , how many towels did Emily end up with ?",N_00 + N_01 - N_02,9.0,5.0 30.0 26.0
"Ned was trying to expand his game collection . He bought N_00 games from a friend and bought N_01 more at a garage sale . If N_02 of the games did n't work , how many good games did he end up with ?",N_00 + N_01 - N_02,14.0,11.0 22.0 19.0
"A teacher had N_00 worksheets to grade . If she graded N_01 , but then another N_02 were turned in , how many worksheets would she have to grade ?",N_00 + N_02 - N_01,20.0,6.0 4.0 18.0
Tim has N_00 dozen golf balls . How many golf balls does he have ?,N_00 * 12.0,156.0,13.0
"Last year at Newberg 's airport , N_00 passengers landed on time . Unfortunately , N_01 passengers landed late . In all , how many passengers landed in Newberg last year ?",N_00 + N_01,14720.0,14507.0 213.0
There are N_00 marbles in each box . How many marbles are in N_01 boxes ?,N_00 * N_01,48.0,8.0 6.0
"One recipe calls for N_00 teaspoon vanilla , and a second recipe requires for N_01 teaspoon vanilla , and a third recipe calls for N_02 teaspoon vanilla . How much vanilla is required to make all N_03 recipes , in teaspoons ?",N_00 + N_01 + N_02,0.875,0.25 0.5 0.125 3.0
"Fred earns $ N_00 an hour cleaning houses . If he works for N_01 hours , how much money will he make ?",N_00 * N_01,100.0,12.5 8.0
